NMuestras,NProcesos,Tiempo,SpeedUp,Pi_Estimado,Error
10000000,9,0.06203014864705882,9.62963859975084,3.1416668941176473,0.0004717371794726471
100000000,9,0.5187531704347826,11.517249635915478,3.1416689095652166,0.00015808574134934785
1000000000,9,5.137737378869566,11.618131153938727,3.1415881033043482,4.410194649473913e-05
100,10,0.00012680983333333333,0.14944550830048672,3.1799999999999997,0.14280244880340234
1000,10,9.86832e-06,7.195839818733078,3.15632,0.040641469282041404
10000,10,6.486656521739131e-05,10.457362304288871,3.141565217391305,0.012522058539574216
100000,10,0.0005077231428571429,13.70405052022165,3.1390571428571428,0.005539902893779953
1000000,10,0.006147037454545454,10.008869953200811,3.1413052727272723,0.0018006642890532726
10000000,10,0.053686246875,11.12627439110773,3.1415678166666665,0.00040899553418391666
100000000,10,0.4635512935652173,12.888778105587207,3.1415965478260874,0.00010868754738230434
