NMuestras,NProcesos,Tiempo,Pi_Estimado,Error
10000000,13,0.07196503800000001,3.1408937999999997,0.000698853589793
100000000,13,0.4993387565,3.14139704,0.000195613589793
1000000000,13,4.979472749,3.141578522,2.2490000000000003e-05
100,14,9.57765e-05,3.2,0.08
1000,14,9.6695e-06,3.172,0.030407346410207002
10000,14,4.8709500000000005e-05,3.128,0.013592653589793
100000,14,0.0008488504999999999,3.13898,0.002612653589793
1000000,14,0.008858778500000001,3.140976,0.000616653589793
10000000,14,0.064524097,3.1410207999999997,0.000571853589793
100000000,14,0.4825348345,3.1414009199999997,0.00021312000000000002
1000000000,14,4.5423657925,3.141566728,2.5925589793e-05
100,15,0.00020743550000000002,3.1799999999999997,0.1
1000,15,9.834499999999999e-06,3.116,0.044
10000,15,5.84425e-05,3.133,0.008592653589793
100000,15,0.0009394544999999999,3.14608,0.004487346410207
